Algorithm,TaskCount,VMCount,Makespan,AvgUtilization
FCFS,100,10,217.48,100.00
RR,100,10,151.33,100.00
SJF,100,10,239.18,100.00
MINMIN,100,10,73.43,100.00
MAXMIN,100,10,65.55,100.00
PSO,100,10,79.45,100.00
FCFS,100,25,119.85,77.45
RR,100,25,119.14,76.27
SJF,100,25,77.95,88.45
MINMIN,100,25,33.40,91.20
MAXMIN,100,25,27.94,100.00
PSO,100,25,28.50,100.00
FCFS,100,50,39.03,67.84
RR,100,50,63.74,37.39
SJF,100,50,57.80,43.06
MINMIN,100,50,22.30,62.84
MAXMIN,100,50,14.47,97.31
PSO,100,50,14.82,97.26
FCFS,500,10,1035.61,100.00
RR,500,10,1049.44,100.00
SJF,500,10,1062.67,100.00
MINMIN,500,10,370.22,100.00
MAXMIN,500,10,361.28,100.00
PSO,500,10,345.44,100.00
FCFS,500,25,420.16,100.00
RR,500,25,451.99,100.00
SJF,500,25,415.18,100.00
MINMIN,500,25,131.54,100.00
MAXMIN,500,25,132.05,100.00
PSO,500,25,149.30,100.00
FCFS,500,50,252.11,99.29
RR,500,50,245.61,99.10
SJF,500,50,230.65,100.00
MINMIN,500,50,85.80,99.24
MAXMIN,500,50,76.54,100.00
PSO,500,50,72.24,100.00
FCFS,1000,10,1541.24,100.00
RR,1000,10,2213.95,100.00
SJF,1000,10,2113.50,100.00
MINMIN,1000,10,659.33,100.00
MAXMIN,1000,10,735.59,100.00
PSO,1000,10,854.97,100.00
FCFS,1000,25,935.24,100.00
RR,1000,25,975.79,100.00
SJF,1000,25,875.49,100.00
MINMIN,1000,25,294.22,100.00
MAXMIN,1000,25,280.96,100.00
PSO,1000,25,254.07,100.00
FCFS,1000,50,456.08,100.00
RR,1000,50,444.07,100.00
SJF,1000,50,449.11,100.00
MINMIN,1000,50,151.95,100.00
MAXMIN,1000,50,133.27,100.00
PSO,1000,50,140.88,100.00
